"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"11","GO:0006027","glycosaminoglycan catabolic process","The chemical reactions and pathways resulting in the breakdown of glycosaminoglycans, any one of a group of polysaccharides that contain amino sugars.","5.08% (3/59)",0.0009198238,3.04,"ENSG00000115884;ENSG00000142798;ENSG00000147257","SDC1;HSPG2;GPC3"
"12","GO:0006720","isoprenoid metabolic process","The chemical reactions and pathways involving isoprenoid compounds, isoprene (2-methylbuta-1,3-diene) or compounds containing or derived from linked isoprene (3-methyl-2-butenylene) residues.","3.42% (4/117)",0.0005551057,3.26,"ENSG00000115884;ENSG00000142798;ENSG00000143320;ENSG00000147257","SDC1;HSPG2;CRABP2;GPC3"
"13","GO:0006721","terpenoid metabolic process","The chemical reactions and pathways involving terpenoids, any member of a class of compounds characterized by an isoprenoid chemical structure and including derivatives with various functional groups.","4.17% (4/96)",0.0002614637,3.58,"ENSG00000115884;ENSG00000142798;ENSG00000143320;ENSG00000147257","SDC1;HSPG2;CRABP2;GPC3"
"14","GO:0006897","endocytosis","A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a small region of the plasma membrane to form a new membrane-bounded vesicle.","1% (7/699)",0.006992517,2.16,"ENSG00000010278;ENSG00000054793;ENSG00000070831;ENSG00000110651;ENSG00000142798;ENSG00000147257;ENSG00000189403","CD9;ATP9A;CDC42;CD81;HSPG2;GPC3;HMGB1"
"15","GO:0006928","movement of cell or subcellular component","The directed, self-propelled movement of a cell or subcellular component without the involvement of an external agent such as a transporter or a pore.","1% (20/2004)",1.578716e-06,5.8,"ENSG00000010278;ENSG00000046604;ENSG00000064999;ENSG00000070831;ENSG00000082781;ENSG00000091409;ENSG00000110651;ENSG00000112137;ENSG00000115884;ENSG00000117632;ENSG00000142949;ENSG00000145824;ENSG00000147257;ENSG00000150471;ENSG00000154380;ENSG00000164093;ENSG00000170017;ENSG00000182871;ENSG00000189403;ENSG00000272398","CD9;DSG2;ANKS1A;CDC42;ITGB5;ITGA6;CD81;PHACTR1;SDC1;STMN1;PTPRF;CXCL14;GPC3;ADGRL3;ENAH;PITX2;ALCAM;COL18A1;HMGB1;CD24"
"16","GO:0007010","cytoskeleton organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures.","1.03% (14/1358)",7.068711e-05,4.15,"ENSG00000017260;ENSG00000070831;ENSG00000082781;ENSG00000112137;ENSG00000117632;ENSG00000128422;ENSG00000154380;ENSG00000159140;ENSG00000167552;ENSG00000170421;ENSG00000186081;ENSG00000186847;ENSG00000196230;ENSG00000277443","ATP2C1;CDC42;ITGB5;PHACTR1;STMN1;KRT17;ENAH;SON;TUBA1A;KRT8;KRT5;KRT14;TUBB;MARCKS"
"17","GO:0007015","actin filament organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments. Includes processes that control the spatial distribution of actin filaments, such as organizing filaments into meshworks, bundles, or other structures, as by cross-linking.","1.42% (6/422)",0.002330944,2.63,"ENSG00000070831;ENSG00000082781;ENSG00000112137;ENSG00000117632;ENSG00000154380;ENSG00000277443","CDC42;ITGB5;PHACTR1;STMN1;ENAH;MARCKS"
"18","GO:0007044","cell-substrate junction assembly","The aggregation, arrangement and bonding together of a set of components to form a junction between a cell and its substrate.","3.03% (3/99)",0.004052621,2.39,"ENSG00000091409;ENSG00000186081;ENSG00000186847","ITGA6;KRT5;KRT14"
"19","GO:0007155","cell adhesion","The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules.","1.04% (14/1348)",6.520362e-05,4.19,"ENSG00000010278;ENSG00000017260;ENSG00000046604;ENSG00000070831;ENSG00000082781;ENSG00000091409;ENSG00000110651;ENSG00000121210;ENSG00000142949;ENSG00000150471;ENSG00000170017;ENSG00000182871;ENSG00000189403;ENSG00000272398","CD9;ATP2C1;DSG2;CDC42;ITGB5;ITGA6;CD81;TMEM131L;PTPRF;ADGRL3;ALCAM;COL18A1;HMGB1;CD24"
"20","GO:0007159","leukocyte cell-cell adhesion","The attachment of a leukocyte to another cell via adhesion molecules.","1.55% (5/322)",0.003787302,2.42,"ENSG00000070831;ENSG00000110651;ENSG00000121210;ENSG00000189403;ENSG00000272398","CDC42;CD81;TMEM131L;HMGB1;CD24"
"21","GO:0007166","cell surface receptor signaling pathway","A series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription.","0.66% (18/2740)",0.001602134,2.8,"ENSG00000064999;ENSG00000065526;ENSG00000070831;ENSG00000082781;ENSG00000090006;ENSG00000091409;ENSG00000095015;ENSG00000110651;ENSG00000115884;ENSG00000117632;ENSG00000121210;ENSG00000142949;ENSG00000147257;ENSG00000150471;ENSG00000170421;ENSG00000171243;ENSG00000189108;ENSG00000272398","ANKS1A;SPEN;CDC42;ITGB5;LTBP4;ITGA6;MAP3K1;CD81;SDC1;STMN1;TMEM131L;PTPRF;GPC3;ADGRL3;KRT8;SOSTDC1;IL1RAPL2;CD24"
"22","GO:0007229","integrin-mediated signaling pathway","A series of molecular signals initiated by the binding of extracellular ligand to an integrin on the surface of a target cell, and ending with regulation of a downstream cellular process, e.g. transcription.","2.75% (3/109)",0.005302768,2.28,"ENSG00000070831;ENSG00000082781;ENSG00000091409","CDC42;ITGB5;ITGA6"
"23","GO:0007275","multicellular organism development","The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult).","0.76% (38/5030)",2.679169e-10,9.57,"ENSG00000010278;ENSG00000035862;ENSG00000046604;ENSG00000064999;ENSG00000065526;ENSG00000070831;ENSG00000077063;ENSG00000082781;ENSG00000090006;ENSG00000091409;ENSG00000110651;ENSG00000111962;ENSG00000112137;ENSG00000115884;ENSG00000117523;ENSG00000117632;ENSG00000121210;ENSG00000128422;ENSG00000142798;ENSG00000142949;ENSG00000143320;ENSG00000145824;ENSG00000147257;ENSG00000150471;ENSG00000154122;ENSG00000154380;ENSG00000164093;ENSG00000170017;ENSG00000170421;ENSG00000171243;ENSG00000178573;ENSG00000182871;ENSG00000186081;ENSG00000186847;ENSG00000189108;ENSG00000189403;ENSG00000272398;ENSG00000277443","CD9;TIMP2;DSG2;ANKS1A;SPEN;CDC42;CTTNBP2;ITGB5;LTBP4;ITGA6;CD81;UST;PHACTR1;SDC1;PRRC2C;STMN1;TMEM131L;KRT17;HSPG2;PTPRF;CRABP2;CXCL14;GPC3;ADGRL3;ANKH;ENAH;PITX2;ALCAM;KRT8;SOSTDC1;MAF;COL18A1;KRT5;KRT14;IL1RAPL2;HMGB1;CD24;MARCKS"
"24","GO:0007399","nervous system development","The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state.","0.86% (20/2332)",1.669802e-05,4.78,"ENSG00000010278;ENSG00000035862;ENSG00000064999;ENSG00000065526;ENSG00000070831;ENSG00000077063;ENSG00000091409;ENSG00000111962;ENSG00000112137;ENSG00000117632;ENSG00000142798;ENSG00000142949;ENSG00000143320;ENSG00000150471;ENSG00000154380;ENSG00000164093;ENSG00000170017;ENSG00000189108;ENSG00000189403;ENSG00000277443","CD9;TIMP2;ANKS1A;SPEN;CDC42;CTTNBP2;ITGA6;UST;PHACTR1;STMN1;HSPG2;PTPRF;CRABP2;ADGRL3;ENAH;PITX2;ALCAM;IL1RAPL2;HMGB1;MARCKS"
"25","GO:0007417","central nervous system development","The process whose specific outcome is the progression of the central nervous system over time, from its formation to the mature structure. The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the brain and spinal cord. In those invertebrates with a central nervous system it typically consists of a brain, cerebral ganglia and a nerve cord.","1.11% (11/989)",0.0002624895,3.58,"ENSG00000010278;ENSG00000035862;ENSG00000070831;ENSG00000077063;ENSG00000112137;ENSG00000117632;ENSG00000142798;ENSG00000150471;ENSG00000164093;ENSG00000189108;ENSG00000277443","CD9;TIMP2;CDC42;CTTNBP2;PHACTR1;STMN1;HSPG2;ADGRL3;PITX2;IL1RAPL2;MARCKS"
"26","GO:0007420","brain development","The process whose specific outcome is the progression of the brain over time, from its formation to the mature structure. Brain development begins with patterning events in the neural tube and ends with the mature structure that is the center of thought and emotion. The brain is responsible for the coordination and control of bodily activities and the interpretation of information from the senses (sight, hearing, smell, etc.).","1.09% (8/735)",0.002331091,2.63,"ENSG00000010278;ENSG00000070831;ENSG00000077063;ENSG00000112137;ENSG00000117632;ENSG00000142798;ENSG00000150471;ENSG00000164093","CD9;CDC42;CTTNBP2;PHACTR1;STMN1;HSPG2;ADGRL3;PITX2"
"27","GO:0007520","myoblast fusion","A process in which non-proliferating myoblasts fuse to existing fibers or to myotubes to form new fibers. A myoblast is a mononucleate cell type that, by fusion with other myoblasts, gives rise to the myotubes that eventually develop into skeletal muscle fibers.","5.71% (2/35)",0.005737065,2.24,"ENSG00000010278;ENSG00000110651","CD9;CD81"
"28","GO:0008544","epidermis development","The process whose specific outcome is the progression of the epidermis over time, from its formation to the mature structure. The epidermis is the outer epithelial layer of an animal, it may be a single layer that produces an extracellular material (e.g. the cuticle of arthropods) or a complex stratified squamous epithelium, as in the case of many vertebrate species.","2.49% (9/361)",2.045996e-06,5.69,"ENSG00000017260;ENSG00000046604;ENSG00000128422;ENSG00000143320;ENSG00000164093;ENSG00000170421;ENSG00000171243;ENSG00000186081;ENSG00000186847","ATP2C1;DSG2;KRT17;CRABP2;PITX2;KRT8;SOSTDC1;KRT5;KRT14"
"29","GO:0009415","response to water","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of water.","17.65% (3/17)",2.117437e-05,4.67,"ENSG00000010278;ENSG00000170421;ENSG00000182871","CD9;KRT8;COL18A1"
"30","GO:0009605","response to external stimulus","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus.","0.65% (14/2157)",0.007110737,2.15,"ENSG00000010278;ENSG00000091409;ENSG00000095015;ENSG00000110651;ENSG00000117632;ENSG00000139644;ENSG00000142949;ENSG00000145824;ENSG00000147257;ENSG00000154380;ENSG00000170017;ENSG00000170421;ENSG00000189403;ENSG00000272398","CD9;ITGA6;MAP3K1;CD81;STMN1;TMBIM6;PTPRF;CXCL14;GPC3;ENAH;ALCAM;KRT8;HMGB1;CD24"
"31","GO:0009653","anatomical structure morphogenesis","The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form.","0.77% (20/2590)",7.92118e-05,4.1,"ENSG00000010278;ENSG00000070831;ENSG00000082781;ENSG00000091409;ENSG00000110651;ENSG00000111962;ENSG00000112137;ENSG00000115884;ENSG00000117632;ENSG00000128422;ENSG00000142798;ENSG00000143320;ENSG00000147257;ENSG00000154380;ENSG00000164093;ENSG00000170017;ENSG00000170421;ENSG00000171243;ENSG00000182871;ENSG00000189403","CD9;CDC42;ITGB5;ITGA6;CD81;UST;PHACTR1;SDC1;STMN1;KRT17;HSPG2;CRABP2;GPC3;ENAH;PITX2;ALCAM;KRT8;SOSTDC1;COL18A1;HMGB1"
"32","GO:0009888","tissue development","The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure.","1.12% (21/1880)",1.080384e-07,6.97,"ENSG00000010278;ENSG00000017260;ENSG00000046604;ENSG00000070831;ENSG00000082781;ENSG00000091409;ENSG00000110651;ENSG00000115884;ENSG00000128422;ENSG00000142798;ENSG00000143320;ENSG00000147257;ENSG00000154122;ENSG00000164093;ENSG00000170421;ENSG00000171243;ENSG00000178573;ENSG00000182871;ENSG00000186081;ENSG00000186847;ENSG00000272398","CD9;ATP2C1;DSG2;CDC42;ITGB5;ITGA6;CD81;SDC1;KRT17;HSPG2;CRABP2;GPC3;ANKH;PITX2;KRT8;SOSTDC1;MAF;COL18A1;KRT5;KRT14;CD24"
"33","GO:0009913","epidermal cell differentiation","The process in which a relatively unspecialized cell acquires specialized features of an epidermal cell, any of the cells making up the epidermis.","2.41% (6/249)",0.0001464952,3.83,"ENSG00000046604;ENSG00000128422;ENSG00000164093;ENSG00000170421;ENSG00000186081;ENSG00000186847","DSG2;KRT17;PITX2;KRT8;KRT5;KRT14"
"34","GO:0014905","myoblast fusion involved in skeletal muscle regeneration","A process in which non-proliferating myoblasts, after migrating to the site of injury, fuse into existing damaged fibers or fuse to myotubes to form new fibers, as part of the process of skeletal muscle regeneration. A myoblast is a mononucleate cell type that, by fusion with other myoblasts, gives rise to the myotubes that eventually develop into skeletal muscle fibers.","40% (2/5)",0.0001026007,3.99,"ENSG00000010278;ENSG00000110651","CD9;CD81"
"35","GO:0014908","myotube differentiation involved in skeletal muscle regeneration","The process in which a relatively unspecialized cell acquires specialized features of a myotube cell. Myotube differentiation starts with myoblast fusion and the appearance of specific cell markers (this is the cell development step). Then individual myotubes can fuse to form bigger myotubes and start to contract. This process occurs as part of the process of skeletal muscle regeneration. Myotubes are multinucleated cells that are formed when proliferating myoblasts exit the cell cycle, differentiate and fuse.","25% (2/8)",0.0002854977,3.54,"ENSG00000010278;ENSG00000110651","CD9;CD81"
"36","GO:0016032","viral process","A multi-organism process in which a virus is a participant. The other participant is the host. Includes infection of a host cell, replication of the viral genome, and assembly of progeny virus particles. In some cases the viral genetic material may integrate into the host genome and only subsequently, under particular circumstances, 'complete' its life cycle.","0.9% (8/889)",0.007357802,2.13,"ENSG00000011243;ENSG00000065526;ENSG00000070831;ENSG00000082781;ENSG00000110651;ENSG00000170421;ENSG00000171681;ENSG00000189403","AKAP8L;SPEN;CDC42;ITGB5;CD81;KRT8;ATF7IP;HMGB1"
"37","GO:0016043","cellular component organization","A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component.","0.6% (37/6134)",7.29884e-07,6.14,"ENSG00000010278;ENSG00000011243;ENSG00000017260;ENSG00000035862;ENSG00000046604;ENSG00000054793;ENSG00000070831;ENSG00000077063;ENSG00000082781;ENSG00000083097;ENSG00000090006;ENSG00000091409;ENSG00000111962;ENSG00000112137;ENSG00000115884;ENSG00000117523;ENSG00000117632;ENSG00000128422;ENSG00000142798;ENSG00000142949;ENSG00000143320;ENSG00000147257;ENSG00000150471;ENSG00000154380;ENSG00000159140;ENSG00000167552;ENSG00000170017;ENSG00000170421;ENSG00000171681;ENSG00000182871;ENSG00000186081;ENSG00000186847;ENSG00000189108;ENSG00000189403;ENSG00000196230;ENSG00000272398;ENSG00000277443","CD9;AKAP8L;ATP2C1;TIMP2;DSG2;ATP9A;CDC42;CTTNBP2;ITGB5;DOP1A;LTBP4;ITGA6;UST;PHACTR1;SDC1;PRRC2C;STMN1;KRT17;HSPG2;PTPRF;CRABP2;GPC3;ADGRL3;ENAH;SON;TUBA1A;ALCAM;KRT8;ATF7IP;COL18A1;KRT5;KRT14;IL1RAPL2;HMGB1;TUBB;CD24;MARCKS"
"38","GO:0016055","Wnt signaling pathway","The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell and ending with a change in cell state.","1.2% (6/502)",0.005463055,2.26,"ENSG00000070831;ENSG00000115884;ENSG00000121210;ENSG00000147257;ENSG00000171243;ENSG00000272398","CDC42;SDC1;TMEM131L;GPC3;SOSTDC1;CD24"
"39","GO:0016101","diterpenoid metabolic process","The chemical reactions and pathways involving diterpenoid compounds, terpenoids with four isoprene units.","4.55% (4/88)",0.0001870635,3.73,"ENSG00000115884;ENSG00000142798;ENSG00000143320;ENSG00000147257","SDC1;HSPG2;CRABP2;GPC3"
"40","GO:0016477","cell migration","The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues. Cell migration is a central process in the development and maintenance of multicellular organisms.","1.14% (16/1406)",5.055874e-06,5.3,"ENSG00000010278;ENSG00000064999;ENSG00000070831;ENSG00000082781;ENSG00000091409;ENSG00000110651;ENSG00000112137;ENSG00000115884;ENSG00000142949;ENSG00000145824;ENSG00000147257;ENSG00000150471;ENSG00000164093;ENSG00000182871;ENSG00000189403;ENSG00000272398","CD9;ANKS1A;CDC42;ITGB5;ITGA6;CD81;PHACTR1;SDC1;PTPRF;CXCL14;GPC3;ADGRL3;PITX2;COL18A1;HMGB1;CD24"
"41","GO:0022008","neurogenesis","Generation of cells within the nervous system.","0.99% (16/1611)",2.850139e-05,4.55,"ENSG00000010278;ENSG00000035862;ENSG00000064999;ENSG00000065526;ENSG00000070831;ENSG00000091409;ENSG00000111962;ENSG00000112137;ENSG00000117632;ENSG00000142949;ENSG00000143320;ENSG00000150471;ENSG00000154380;ENSG00000164093;ENSG00000170017;ENSG00000189403","CD9;TIMP2;ANKS1A;SPEN;CDC42;ITGA6;UST;PHACTR1;STMN1;PTPRF;CRABP2;ADGRL3;ENAH;PITX2;ALCAM;HMGB1"
"42","GO:0022407","regulation of cell-cell adhesion","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell.","1.8% (7/389)",0.0002416072,3.62,"ENSG00000010278;ENSG00000070831;ENSG00000091409;ENSG00000110651;ENSG00000121210;ENSG00000189403;ENSG00000272398","CD9;CDC42;ITGA6;CD81;TMEM131L;HMGB1;CD24"
"43","GO:0022409","positive regulation of cell-cell adhesion","Any process that activates or increases the rate or extent of cell adhesion to another cell.","2.02% (5/248)",0.001216166,2.92,"ENSG00000070831;ENSG00000091409;ENSG00000110651;ENSG00000189403;ENSG00000272398","CDC42;ITGA6;CD81;HMGB1;CD24"
"44","GO:0022607","cellular component assembly","The aggregation, arrangement and bonding together of a cellular component.","0.64% (18/2816)",0.002205827,2.66,"ENSG00000010278;ENSG00000070831;ENSG00000082781;ENSG00000091409;ENSG00000112137;ENSG00000115884;ENSG00000117523;ENSG00000117632;ENSG00000150471;ENSG00000167552;ENSG00000170421;ENSG00000171681;ENSG00000186081;ENSG00000186847;ENSG00000189108;ENSG00000189403;ENSG00000196230;ENSG00000277443","CD9;CDC42;ITGB5;ITGA6;PHACTR1;SDC1;PRRC2C;STMN1;ADGRL3;TUBA1A;KRT8;ATF7IP;KRT5;KRT14;IL1RAPL2;HMGB1;TUBB;MARCKS"
"45","GO:0022610","biological adhesion","The attachment of a cell or organism to a substrate, another cell, or other organism. Biological adhesion includes intracellular attachment between membrane regions.","1.03% (14/1353)",6.789668e-05,4.17,"ENSG00000010278;ENSG00000017260;ENSG00000046604;ENSG00000070831;ENSG00000082781;ENSG00000091409;ENSG00000110651;ENSG00000121210;ENSG00000142949;ENSG00000150471;ENSG00000170017;ENSG00000182871;ENSG00000189403;ENSG00000272398","CD9;ATP2C1;DSG2;CDC42;ITGB5;ITGA6;CD81;TMEM131L;PTPRF;ADGRL3;ALCAM;COL18A1;HMGB1;CD24"
"46","GO:0030029","actin filament-based process","Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins.","1.17% (9/772)",0.0007429408,3.13,"ENSG00000017260;ENSG00000046604;ENSG00000070831;ENSG00000082781;ENSG00000112137;ENSG00000117632;ENSG00000154380;ENSG00000170421;ENSG00000277443","ATP2C1;DSG2;CDC42;ITGB5;PHACTR1;STMN1;ENAH;KRT8;MARCKS"
"47","GO:0030030","cell projection organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a cell, e.g. a flagellum or axon.","0.78% (12/1547)",0.003244265,2.49,"ENSG00000070831;ENSG00000091409;ENSG00000111962;ENSG00000112137;ENSG00000117632;ENSG00000142949;ENSG00000143320;ENSG00000154380;ENSG00000167552;ENSG00000170017;ENSG00000189403;ENSG00000196230","CDC42;ITGA6;UST;PHACTR1;STMN1;PTPRF;CRABP2;ENAH;TUBA1A;ALCAM;HMGB1;TUBB"
"48","GO:0030036","actin cytoskeleton organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins.","1.18% (8/680)",0.001427878,2.85,"ENSG00000017260;ENSG00000070831;ENSG00000082781;ENSG00000112137;ENSG00000117632;ENSG00000154380;ENSG00000170421;ENSG00000277443","ATP2C1;CDC42;ITGB5;PHACTR1;STMN1;ENAH;KRT8;MARCKS"
"49","GO:0030038","contractile actin filament bundle assembly","Assembly of actin filament bundles in which the filaments are loosely packed (approximately 30-60 nm apart) and arranged with opposing polarities; the loose packing allows myosin (usually myosin-II) to enter the bundle.","3.77% (4/106)",0.0003818091,3.42,"ENSG00000070831;ENSG00000082781;ENSG00000112137;ENSG00000117632","CDC42;ITGB5;PHACTR1;STMN1"
"50","GO:0030154","cell differentiation","The process in which relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state.","0.88% (34/3846)",1.336253e-10,9.87,"ENSG00000010278;ENSG00000035862;ENSG00000046604;ENSG00000064999;ENSG00000065526;ENSG00000070831;ENSG00000082781;ENSG00000090006;ENSG00000091409;ENSG00000110651;ENSG00000111962;ENSG00000112137;ENSG00000115884;ENSG00000117523;ENSG00000117632;ENSG00000121210;ENSG00000128422;ENSG00000142798;ENSG00000142949;ENSG00000143320;ENSG00000145824;ENSG00000147257;ENSG00000150471;ENSG00000154380;ENSG00000164093;ENSG00000170017;ENSG00000170421;ENSG00000171243;ENSG00000178573;ENSG00000182871;ENSG00000186081;ENSG00000186847;ENSG00000189403;ENSG00000272398","CD9;TIMP2;DSG2;ANKS1A;SPEN;CDC42;ITGB5;LTBP4;ITGA6;CD81;UST;PHACTR1;SDC1;PRRC2C;STMN1;TMEM131L;KRT17;HSPG2;PTPRF;CRABP2;CXCL14;GPC3;ADGRL3;ENAH;PITX2;ALCAM;KRT8;SOSTDC1;MAF;COL18A1;KRT5;KRT14;HMGB1;CD24"
"51","GO:0030155","regulation of cell adhesion","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix.","1.04% (7/672)",0.005664557,2.25,"ENSG00000010278;ENSG00000070831;ENSG00000091409;ENSG00000110651;ENSG00000121210;ENSG00000189403;ENSG00000272398","CD9;CDC42;ITGA6;CD81;TMEM131L;HMGB1;CD24"
"52","GO:0030182","neuron differentiation","The process in which a relatively unspecialized cell acquires specialized features of a neuron.","0.96% (13/1355)",0.0002819795,3.55,"ENSG00000035862;ENSG00000064999;ENSG00000070831;ENSG00000091409;ENSG00000111962;ENSG00000112137;ENSG00000117632;ENSG00000142949;ENSG00000143320;ENSG00000154380;ENSG00000164093;ENSG00000170017;ENSG00000189403","TIMP2;ANKS1A;CDC42;ITGA6;UST;PHACTR1;STMN1;PTPRF;CRABP2;ENAH;PITX2;ALCAM;HMGB1"
"53","GO:0030198","extracellular matrix organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an extracellular matrix.","1.33% (5/375)",0.007170468,2.14,"ENSG00000035862;ENSG00000082781;ENSG00000091409;ENSG00000142798;ENSG00000182871","TIMP2;ITGB5;ITGA6;HSPG2;COL18A1"
"54","GO:0030203","glycosaminoglycan metabolic process","The chemical reactions and pathways involving glycosaminoglycans, any one of a group of polysaccharides that contain amino sugars. Formerly known as mucopolysaccharides, they include hyaluronic acid and chondroitin, which provide lubrication in joints and form part of the matrix of cartilage. The three-dimensional structure of these molecules enables them to trap water, which forms a gel and gives glycosaminoglycans their elastic properties.","2.67% (4/150)",0.001402723,2.85,"ENSG00000111962;ENSG00000115884;ENSG00000142798;ENSG00000147257","UST;SDC1;HSPG2;GPC3"
