"","DEM","SOB","DF","DP","POB","OB"
"22","animal organ development","regulation of translation","multicellular organismal process","cell projection morphogenesis","axonogenesis","supramolecular fiber organization"
"23","regulation of plasma membrane bounded cell projection organization","response to organonitrogen compound","regulation of locomotion","regulation of localization","generation of neurons","connective tissue development"
"24","regulation of cell projection organization","cellular response to cytokine stimulus","cell differentiation","multicellular organismal process","cell morphogenesis involved in differentiation","tooth mineralization"
"25","neuron recognition","anatomical structure morphogenesis","regulation of cellular component movement","cell part morphogenesis","neuron development","cell morphogenesis"
"26","positive regulation of cell projection organization","positive regulation of metabolic process","cellular developmental process","regulation of neuron projection development","cell morphogenesis","regulation of protein depolymerization"
"27","axon development","developmental process","cell-substrate adhesion","cell junction organization","neuron differentiation","growth"
"28","neuron projection morphogenesis","positive regulation of cellular amide metabolic process","anatomical structure development","positive regulation of cell projection organization","circulatory system development","response to vitamin"
"29","plasma membrane bounded cell projection morphogenesis","response to nitrogen compound","substrate adhesion-dependent cell spreading","developmental process","axon guidance","odontogenesis of dentin-containing tooth"
"30","cell projection morphogenesis","actin filament-based process","developmental process","system development","anatomical structure formation involved in morphogenesis","cellular developmental process"
"31","regulation of nervous system development","regulation of cell death","positive regulation of cell migration","regulation of cation channel activity","neuron projection guidance","regulation of tooth mineralization"
"32","cell part morphogenesis","cell differentiation","animal organ morphogenesis","appendage development","plasma membrane bounded cell projection organization","cellular response to growth factor stimulus"
"33","cell morphogenesis involved in neuron differentiation","response to inorganic substance","positive regulation of cell motility","limb development","cell surface receptor signaling pathway","collagen metabolic process"
"34","axonogenesis","posttranscriptional regulation of gene expression","transmembrane receptor protein serine/threonine kinase signaling pathway","cell morphogenesis involved in differentiation","chemical synaptic transmission","regulation of receptor-mediated endocytosis"
"35","negative chemotaxis","anatomical structure development","positive regulation of locomotion","regulation of animal organ morphogenesis","anterograde trans-synaptic signaling","cytoskeleton organization"
"36","axon guidance","regulation of cellular amide metabolic process","positive regulation of cellular component movement","regulation of plasma membrane bounded cell projection organization","proteoglycan biosynthetic process","blood vessel development"
"37","cellular component morphogenesis","cellular developmental process","muscle structure development","cell migration","heart development","chondrocyte differentiation"
"38","neuron projection guidance","positive regulation of macromolecule metabolic process","system development","regulation of neuron differentiation","trans-synaptic signaling","epithelial cell differentiation involved in kidney development"
"39","signal transduction","cell activation","embryo development","regulation of cell projection organization","modulation of chemical synaptic transmission","enzyme linked receptor protein signaling pathway"
"40","central nervous system development","positive regulation of immune system process","enzyme linked receptor protein signaling pathway","cellular component morphogenesis","regulation of trans-synaptic signaling","response to growth factor"
"41","axonal fasciculation","immune system process","negative regulation of cell communication","actin filament-based process","cell projection organization","protein depolymerization"
"42","neuron projection fasciculation","cellular response to endogenous stimulus","cell-matrix adhesion","regulation of cell junction assembly","synaptic signaling","bone development"
"43","animal organ morphogenesis","response to growth factor","negative regulation of signaling","growth","cell-cell signaling","skin morphogenesis"
"44","chemotaxis","cellular response to stimulus","response to endogenous stimulus","tissue morphogenesis","movement of cell or subcellular component","glomerular visceral epithelial cell development"
"45","taxis","biological process involved in interspecies interaction between organisms","cellular response to organic substance","movement of cell or subcellular component","cardiac cell development","vasculature development"
"46","signaling","leukocyte differentiation","tissue morphogenesis","regulation of cell differentiation","developmental growth involved in morphogenesis","cell differentiation"
"47","cell morphogenesis involved in differentiation","positive regulation of gene expression","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","plasma membrane bounded cell projection organization","positive regulation of exocytosis","circulatory system development"
"48","brain development","regulation of cellular component organization","negative regulation of signal transduction","negative regulation of developmental process","regulation of cell differentiation","positive regulation of receptor-mediated endocytosis"
"49","cell communication","response to organophosphorus","cell surface receptor signaling pathway","regulation of cation transmembrane transport","developmental growth","glomerular epithelial cell development"
"50","cell recognition","programmed cell death","response to chemical","locomotion","nervous system development","regulation of protein-containing complex disassembly"
"51","regulation of multicellular organismal development","homotypic cell-cell adhesion","response to organic substance","cell projection organization","proteoglycan metabolic process","collagen fibril organization"
"52","head development","nervous system development","cellular response to endogenous stimulus","cell motility","regulation of developmental process","cellular protein complex disassembly"
"53","positive regulation of neuron projection development","biological process involved in symbiotic interaction","regulation of signal transduction","localization of cell","regulation of localization","cell differentiation involved in kidney development"
"54","regulation of developmental process","response to purine-containing compound","cell morphogenesis involved in differentiation","appendage morphogenesis","locomotion","regulation of protein kinase B signaling"
"55","cell-cell adhesion","positive regulation of leukocyte differentiation","regulation of cell-substrate adhesion","limb morphogenesis","synaptic transmission, glutamatergic","positive regulation of endothelial cell chemotaxis"
"56","positive regulation of nervous system development","positive regulation of hemopoiesis","negative regulation of response to stimulus","positive regulation of developmental process","anterior/posterior axon guidance","head development"
"57","luteolysis","neurogenesis","circulatory system development","cell-cell signaling","positive regulation of synaptic vesicle exocytosis","kidney epithelium development"
"58","corticospinal tract morphogenesis","positive regulation of intracellular signal transduction","cellular response to chemical stimulus","axonogenesis","positive regulation of cellular process","glomerulus development"
"59","cell morphogenesis","positive regulation of cellular component movement","anatomical structure formation involved in morphogenesis","asymmetric neuroblast division","Wnt signaling pathway, calcium modulating pathway","cell adhesion"
"60","sensory organ development","positive regulation of response to stimulus","regulation of cell communication","lung growth","appendage development","biological adhesion"
"61","central nervous system neuron differentiation","movement of cell or subcellular component","regulation of signaling","regulation of voltage-gated sodium channel activity","limb development","enamel mineralization"
"62","regulation of synapse assembly","cellular response to growth factor stimulus","ameboidal-type cell migration","regulation of ion transmembrane transporter activity","central nervous system development","protein kinase B signaling"
"63","cartilage development","actin cytoskeleton organization","BMP signaling pathway","postsynaptic density organization","cellular component assembly involved in morphogenesis","forebrain development"
"64","regulation of cell junction assembly","regulation of protein metabolic process","cellular response to growth factor stimulus","cell development","regulation of cellular component organization","receptor-mediated endocytosis"
"65","establishment of centrosome localization","cellular localization","signal transduction","regulation of transmembrane transporter activity","positive regulation of biological process","renal filtration cell differentiation"
"66","regulation of synapse organization","response to cAMP","regulation of BMP signaling pathway","mammary gland formation","regulation of transport","glomerular visceral epithelial cell differentiation"
"67","positive regulation of cellular component organization","regulation of cellular component movement","negative regulation of developmental process","specification of animal organ identity","brain development","positive regulation of protein depolymerization"
"68","regulation of chondrocyte differentiation","generation of neurons","response to BMP","postsynaptic specialization organization","negative regulation of cellular macromolecule biosynthetic process","cell development"
"69","locomotion","signal transduction","cellular response to BMP stimulus","regulation of presynapse assembly","growth","actin cytoskeleton organization"
"70","regulation of synapse structure or activity","neuron death","post-translational protein modification","regulation of presynapse organization","negative regulation of macromolecule biosynthetic process","neuron migration"
"71","skeletal system morphogenesis","regulation of binding","response to growth factor","regulation of transporter activity","dermatan sulfate biosynthetic process","movement of cell or subcellular component"
"72","movement of cell or subcellular component","neuron differentiation","cell morphogenesis","axon development","positive regulation of regulated secretory pathway","glomerular epithelial cell differentiation"
"73","positive regulation of endothelial cell chemotaxis","regulation of cell migration","cell-substrate junction assembly","positive regulation of nervous system development","head development","cellular component disassembly"
"74","kidney epithelium development","multicellular organismal process","regulation of developmental process","regulation of protein phosphorylation","cell differentiation involved in kidney development","regulation of endothelial cell chemotaxis"
"75","positive regulation of synapse assembly","positive regulation of myeloid leukocyte differentiation","cell-substrate junction organization","positive regulation of cell differentiation","developmental cell growth","tube development"
"76","enzyme linked receptor protein signaling pathway","regulation of supramolecular fiber organization","regulation of response to stimulus","positive regulation of protein kinase activity","dermatan sulfate metabolic process","positive regulation of protein kinase B signaling"
"77","connective tissue development","viral process","cell communication","cell-cell adhesion","netrin-activated signaling pathway","transmembrane receptor protein tyrosine kinase signaling pathway"
"78","regulation of response to wounding","regulation of apoptotic process","integrin-mediated signaling pathway","semicircular canal development","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening","response to nutrient"
"79","forebrain development","response to stimulus","muscle tissue development","regulation of phosphate metabolic process","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","organ growth"
"80","regulation of cartilage development","hematopoietic or lymphoid organ development","animal organ development","positive regulation of cellular process","cardiocyte differentiation","positive regulation of developmental growth"
"81","tissue development","response to drug","cell development","regulation of phosphorus metabolic process","negative regulation of cellular biosynthetic process","glomerular epithelium development"
"82","cell junction organization","protein stabilization","cellular component organization","regulation of multicellular organismal process","myofibril assembly","amelogenesis"
"83","cardiac septum morphogenesis","cell cycle","regulation of cellular response to growth factor stimulus","synapse assembly","regulation of smooth muscle cell proliferation","synapse organization"
"84","circulatory system development","epithelial cell differentiation","ossification","regulation of synapse assembly","nephron development","kidney development"
"85","cellular response to stimulus","regulation of programmed cell death","regulation of cell-matrix adhesion","trans-synaptic signaling by trans-synaptic complex","dermatan sulfate proteoglycan biosynthetic process","brain development"
"86","neuron migration","regulation of cell motility","regulation of cell differentiation","positive regulation of protein modification process","regulation of nuclear-transcribed mRNA poly(A) tail shortening","cardiac muscle tissue growth"
"87","osteoblast development","apoptotic process","regulation of focal adhesion assembly","regulation of cellular component movement","smooth muscle cell proliferation","respiratory tube development"
"88","striatum development","platelet aggregation","regulation of cell-substrate junction assembly","regulation of protein modification process","regulation of vesicle-mediated transport","renal system development"
"89","regulation of axonogenesis","myeloid leukocyte differentiation","regulation of multicellular organismal process","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","negative regulation of biosynthetic process","synapse assembly"
"90","regulation of signal transduction","positive regulation of cell migration","epithelium development","central nervous system development","signaling","exploration behavior"
"91","synapse organization","cellular response to oxygen-containing compound","response to mechanical stimulus","cartilage development","cell communication","response to wounding"
"92","cell junction assembly","regulation of protein stability","cellular component organization or biogenesis","cerebral cortex cell migration","neuron cell-cell adhesion","negative regulation of microtubule depolymerization"
"93","regulation of endothelial cell chemotaxis","immune system development","blood vessel development","presynaptic membrane assembly","dermatan sulfate proteoglycan metabolic process","locomotion"
"94","positive regulation of multicellular organismal process","negative regulation of cell cycle arrest","cellular response to stimulus","synapse organization","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","heart growth"
"95","central nervous system neuron development","protein localization to cell-cell junction","morphogenesis of an epithelium","morphogenesis of an epithelium","regulation of intracellular protein transport","actin filament-based process"
"96","kidney development","regulation of locomotion","cellular response to amino acid stimulus","transmembrane receptor protein tyrosine kinase signaling pathway","appendage morphogenesis","glycosphingolipid biosynthetic process"
"97","subpallium development","translation","regulation of cell-substrate junction organization","animal organ morphogenesis","limb morphogenesis","endothelial cell chemotaxis"
"98","renal system development","positive regulation of cell motility","tube morphogenesis","regulation of nervous system development","positive regulation of synaptic transmission","positive regulation of cardiac muscle cell proliferation"
"99","regulation of anatomical structure morphogenesis","regulation of immune system process","signaling","genitalia morphogenesis","enzyme linked receptor protein signaling pathway","protein-containing complex disassembly"
"100","transcription initiation from RNA polymerase II promoter","peptide metabolic process","regulation of localization","presynaptic membrane organization","cell-cell adhesion via plasma-membrane adhesion molecules","regulation of cell population proliferation"
"101","synapse assembly","positive regulation of signal transduction","vasculature development","actin-mediated cell contraction","positive regulation of transport","cytoskeleton-dependent intracellular transport"
"102","cellular response to organic substance","regulation of cell-substrate adhesion","tube development","embryonic morphogenesis","regulation of synaptic transmission, glutamatergic","positive regulation of endocytosis"
"103","regulation of smoothened signaling pathway","positive regulation of cellular biosynthetic process","cellular response to acid chemical","regulation of cell-substrate adhesion","positive regulation of neurotransmitter secretion","cell motility"
"104","negative regulation of smooth muscle cell migration","reproductive structure development","peptide cross-linking","cerebral cortex development","dendrite self-avoidance","localization of cell"
"105","positive regulation of cellular process","regulation of cellular protein metabolic process","negative regulation of cell differentiation","positive regulation of biological process","animal organ morphogenesis","regulation of endocytosis"
"106","embryonic skeletal system morphogenesis","cellular response to organic cyclic compound","cell growth","presynapse assembly","regulation of cell communication","positive regulation of supramolecular fiber organization"
"107","regulation of cellular component organization","positive regulation of multicellular organismal process","branching morphogenesis of an epithelial tube","regulation of synapse organization","cardiac muscle cell development","positive regulation of microtubule polymerization"
"108","response to stimulus","positive regulation of locomotion","regulation of cell development","regulation of ion transport","regulation of protein localization","cartilage development involved in endochondral bone morphogenesis"
"109","inner ear development","reproductive system development","focal adhesion assembly","cell differentiation","sulfation","cellular response to vitamin"
"110","regulation of multicellular organismal process","neuron projection development","response to stimulus","regulation of sodium ion transmembrane transporter activity","cardiac myofibril assembly","epithelial cell differentiation"
"111","outflow tract septum morphogenesis","peptide biosynthetic process","metanephros development","response to forskolin","cellular response to low-density lipoprotein particle stimulus","regulation of microtubule depolymerization"
"112","aortic valve morphogenesis","plasma membrane bounded cell projection organization","negative regulation of multicellular organismal process","cellular response to forskolin","vocalization behavior","postsynapse assembly"
"113","central nervous system projection neuron axonogenesis","regulation of intracellular signal transduction","regulation of transforming growth factor beta production","positive regulation of kinase activity","homophilic cell adhesion via plasma membrane adhesion molecules","transport"
"114","ureteric bud development","cytokine-mediated signaling pathway","regulation of cell adhesion","regulation of cell-matrix adhesion","tissue development","urogenital system development"
"115","mesonephric epithelium development","actin filament organization","negative regulation of biological process","presynapse organization","positive regulation of cell communication","cell-cell signaling"
"116","mesonephric tubule development","response to reactive oxygen species","transforming growth factor beta production","embryonic limb morphogenesis","negative regulation of transcription, DNA-templated","wound healing"
"117","regulation of chemotaxis","positive regulation of translation","morphogenesis of a branching epithelium","embryonic appendage morphogenesis","ossification","nephron epithelium development"
"118","cell migration","positive regulation of biosynthetic process","negative regulation of cellular response to growth factor stimulus","cell-matrix adhesion","positive regulation of signaling","cell-substrate adhesion"
"119","positive regulation of cell junction assembly","reproductive process","negative regulation of cell motility","radial glial cell differentiation","positive regulation of secretion by cell","mesenchymal cell differentiation"
"120","endothelial cell chemotaxis","reproduction","negative regulation of cellular process","negative regulation of dendritic spine development","regulation of signaling","central nervous system development"
"121","urogenital system development","biological adhesion","skin development","regulation of synapse structure or activity","negative regulation of cellular process","positive regulation of microtubule polymerization or depolymerization"
"122","mesonephros development","response to hydrogen peroxide","heart development","receptor localization to synapse","cell proliferation involved in kidney development","positive regulation of protein-containing complex disassembly"
"123","positive regulation of developmental process","central nervous system development","ERK1 and ERK2 cascade","positive regulation of neurogenesis","regulation of cellular protein localization","brain morphogenesis"
"124","negative regulation of response to external stimulus","regulation of gene expression","response to oxygen-containing compound","positive regulation of phosphorus metabolic process","negative regulation of nucleic acid-templated transcription","epithelial cell development"
"125","regulation of neuron projection regeneration","localization","supramolecular fiber organization","positive regulation of phosphate metabolic process","negative regulation of RNA biosynthetic process","renal system process"
"126","regulation of dendrite development","cell projection organization","sensory organ development","cellular protein modification process","negative regulation of transcription by RNA polymerase II","cell migration"
"127","skeletal system development","enzyme linked receptor protein signaling pathway","extracellular matrix assembly","protein modification process","cellular response to platelet-derived growth factor stimulus","platelet degranulation"
"128","aortic valve development","hemopoiesis","negative regulation of cellular component movement","cell surface receptor signaling pathway involved in cell-cell signaling","cellular response to calcium ion","neurogenesis"
"129","regulation of cell adhesion","cell motility","positive regulation of Wnt signaling pathway, planar cell polarity pathway","odontogenesis","localization within membrane","skeletal system morphogenesis"
"130","tube development","localization of cell","renal system development","cellular developmental process","response to platelet-derived growth factor","positive regulation of cytoskeleton organization"
"131","chondrocyte differentiation","positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator","mesenchymal cell proliferation","positive regulation of protein phosphorylation","positive regulation of neurotransmitter transport","cell projection morphogenesis"
"132","cardiac septum development","positive regulation of developmental process","morphogenesis of a branching structure","positive regulation of cellular component organization","positive regulation of secretion","positive regulation of cardiac muscle tissue growth"
"133","ear development","transmembrane receptor protein serine/threonine kinase signaling pathway","positive regulation of osteoblast proliferation","cell fate commitment","positive regulation of intracellular protein transport","regulation of multicellular organismal process"
"134","fibroblast growth factor receptor signaling pathway","muscle structure development","elastic fiber assembly","cell-substrate adhesion","response to auditory stimulus","positive regulation of endothelial cell migration"
"135","regulation of fibroblast growth factor receptor signaling pathway","cellular response to transforming growth factor beta stimulus","cell proliferation involved in metanephros development","neuroblast proliferation","cell adhesion","developmental cell growth"
"136","osteoblast differentiation","signaling","response to amino acid","telencephalon cell migration","biological adhesion","tube morphogenesis"
"137","regulation of neurogenesis","cell migration","negative regulation of locomotion","regulation of dendritic spine development","heparan sulfate proteoglycan biosynthetic process","establishment of localization"
"138","cellular response to growth factor stimulus","regulation of actin cytoskeleton organization","positive regulation of cell-substrate adhesion","regulation of cell development","negative regulation of cell differentiation","cell part morphogenesis"
"139","positive regulation of neurogenesis","cell development","negative regulation of BMP signaling pathway","regulation of phosphorylation","central nervous system neuron differentiation","negative regulation of microtubule polymerization or depolymerization"
"140","centrosome localization","cell communication","muscle organ development","neuroblast division","cell surface receptor signaling pathway involved in cell-cell signaling","cell junction organization"
"141","cellular component organization","response to wounding","camera-type eye development","mammary gland development","actomyosin structure organization","axon extension"
"142","central nervous system neuron axonogenesis","regulation of metabolic process","epithelial tube morphogenesis","regulation of neurogenesis","positive regulation of anion transport","positive regulation of heart growth"
"143","microtubule organizing center localization","response to transforming growth factor beta","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","positive regulation of synapse assembly","negative regulation of RNA metabolic process","developmental growth involved in morphogenesis"
"144","regulation of cell differentiation","actin filament bundle assembly","cellular response to organonitrogen compound","regulation of sodium ion transmembrane transport","response to lipoprotein particle","cellular response to nutrient"
"145","semi-lunar valve development","regulation of cellular macromolecule biosynthetic process","collagen fibril organization","developmental growth involved in morphogenesis","regulation of anion transport","positive regulation of axon extension"
"146","positive regulation of endothelial cell migration","response to external stimulus","regulation of substrate adhesion-dependent cell spreading","forebrain cell migration","cell-cell adhesion","response to inorganic substance"
"147","cellular response to endogenous stimulus","protein localization to bicellular tight junction","negative regulation of muscle adaptation","animal organ formation","regulation of developmental growth","regulation of localization"
"148","regulation of wound healing","positive regulation of nitrogen compound metabolic process","collagen-activated tyrosine kinase receptor signaling pathway","regulation of focal adhesion assembly","positive regulation of ion transport","dendrite development"
"149","transmembrane receptor protein tyrosine kinase signaling pathway","homeostatic process","negative regulation of transforming growth factor beta production","regulation of cell-substrate junction assembly","cell growth","anatomical structure formation involved in morphogenesis"
"150","axon extension involved in axon guidance","cellular amide metabolic process","urogenital system development","skeletal system development","muscle cell proliferation","endothelium development"
"151","positive regulation of dendrite morphogenesis","positive regulation of cell death","blood vessel morphogenesis","epithelium development","regulation of cellular localization","endocytosis"
"152","neuron projection extension involved in neuron projection guidance","actin filament bundle organization","growth","cellular component assembly","regulation of exocytosis","negative regulation of response to endoplasmic reticulum stress"
"153","response to growth factor","regulation of cellular process","regulation of multicellular organismal development","regulation of Wnt signaling pathway","protein localization to cell periphery","regulation of extrinsic apoptotic signaling pathway in absence of ligand"
"154","embryonic skeletal system development","cellular component organization","odontogenesis","actin filament-based movement","cell migration",NA
"155","regulation of response to stimulus","negative regulation of binding","response to acid chemical","cytoskeleton organization","spinal cord development",NA
"156","DNA-templated transcription, initiation","negative regulation of cellular process","negative regulation of cell morphogenesis involved in differentiation","embryonic digestive tract morphogenesis","cellular response to lipoprotein particle stimulus",NA
"157","developmental growth involved in morphogenesis","growth","negative regulation of substrate adhesion-dependent cell spreading","Wnt signaling pathway","regulation of dendrite development",NA
"158","cardiac chamber morphogenesis","regulation of leukocyte differentiation","negative regulation of protein metabolic process","cell-cell signaling by wnt","positive regulation of RNA metabolic process",NA
"159","semaphorin-plexin signaling pathway","regulation of macromolecule metabolic process","striated muscle tissue development","regulation of cell-substrate junction organization","positive regulation of developmental process",NA
"160","apoptotic process involved in development","positive regulation of cell communication","cellular response to transforming growth factor beta stimulus","connective tissue development","response to mechanical stimulus",NA
"161","heart development","regulation of biosynthetic process","positive regulation of fibroblast migration","positive regulation of canonical Wnt signaling pathway","heparan sulfate proteoglycan metabolic process",NA
"162","heart morphogenesis","positive regulation of signaling","collagen-activated signaling pathway","positive regulation of transferase activity","basement membrane organization",NA
"163","embryonic limb morphogenesis","negative regulation of cell death","positive regulation of non-canonical Wnt signaling pathway","forebrain development","cardiac muscle cell differentiation",NA
"164","embryonic appendage morphogenesis","positive regulation of myeloid cell differentiation","cellular response to nitrogen compound","positive regulation of Ras protein signal transduction","glycosaminoglycan biosynthetic process",NA
"165","regulation of cell-cell adhesion","neuron development","response to transforming growth factor beta","regulation of cardiac muscle contraction","regulation of cholesterol efflux",NA
"166","regulation of cell communication","regulation of macromolecule biosynthetic process","negative regulation of cell-substrate adhesion","regulation of actin filament-based process","striated muscle cell development",NA
"167","cell motility","virion attachment to host cell","eye development","positive regulation of chondrocyte differentiation","nephron epithelium development",NA
"168","localization of cell","Wnt signaling pathway","hemoglobin metabolic process","homophilic cell adhesion via plasma membrane adhesion molecules","olfactory bulb development",NA
"169","dendrite development","cell-cell signaling by wnt","morphogenesis of an epithelial bud","regulation of ion transmembrane transport","regulation of ion transport",NA
"170","ventricular septum morphogenesis","positive regulation of substrate adhesion-dependent cell spreading","regulation of Wnt signaling pathway, planar cell polarity pathway","actin cytoskeleton organization","positive regulation of intracellular transport",NA
"171","negative regulation of response to stimulus","regulation of multicellular organismal process","visual system development","macromolecule modification","mesenchymal cell differentiation",NA
"172","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","cell-cell adhesion","response to abiotic stimulus","enzyme linked receptor protein signaling pathway","regulation of intracellular transport",NA
"173","ovulation cycle process","regulation of actin filament organization","sensory system development","regulation of transmembrane transport","mucopolysaccharide metabolic process",NA
"174","regulation of signaling","tissue morphogenesis","angiogenesis","cartilage condensation","osteoblast differentiation",NA
"175","cell-cell adhesion via plasma-membrane adhesion molecules","regulation of actin filament-based process","regulation of endothelial cell development","asymmetric cell division","Wnt signaling pathway",NA
"176","establishment or maintenance of epithelial cell apical/basal polarity","Fc receptor signaling pathway","regulation of establishment of endothelial barrier","positive regulation of phosphorylation","cell-cell signaling by wnt",NA
"177","telencephalon development","negative regulation of protein metabolic process","regulation of extrinsic apoptotic signaling pathway","nerve development","aminoglycan biosynthetic process",NA
"178","cellular component organization or biogenesis","intracellular signal transduction","neurogenesis","regulation of axonogenesis","regulation of extent of cell growth",NA
"179","embryonic morphogenesis","positive regulation of cell adhesion","cell adhesion mediated by integrin","cAMP metabolic process","cellular response to growth factor stimulus",NA
"180","response to organic substance","response to unfolded protein","positive regulation of cell adhesion","regulation of collateral sprouting","nuclear-transcribed mRNA poly(A) tail shortening",NA
"181","regulation of myelination","regulation of cell cycle","negative regulation of ERK1 and ERK2 cascade","protein localization to postsynaptic specialization membrane","olfactory lobe development",NA
"182","negative regulation of endocytosis","regulation of catabolic process","cell proliferation involved in kidney development","neurotransmitter receptor localization to postsynaptic specialization membrane","negative regulation of nucleobase-containing compound metabolic process",NA
"183","embryonic cranial skeleton morphogenesis","amide biosynthetic process","SMAD protein signal transduction","postsynapse organization","positive regulation of cell migration",NA
"184","regulation of extrinsic apoptotic signaling pathway in absence of ligand","regulation of cellular catabolic process","regulation of ERK1 and ERK2 cascade","regulation of cell migration","regulation of cell migration",NA
"185","cellular response to fibroblast growth factor stimulus","cell adhesion","negative regulation of cell migration","positive regulation of small GTPase mediated signal transduction","positive regulation of nitrogen compound metabolic process",NA
"186","vascular endothelial growth factor signaling pathway","cell cycle process","regulation of cell growth","male genitalia development","regulation of protein export from nucleus",NA
"187","ameboidal-type cell migration","locomotion","homotypic cell-cell adhesion","postsynaptic specialization assembly","cell fate commitment",NA
"188","mesenchyme development","regulation of macrophage migration","neuron projection extension","cell aggregation","cell junction organization",NA
"189","pattern specification process","cellular component organization or biogenesis","protein activation cascade","regulation of cellular component organization","negative regulation of lipid transport",NA
"190","positive regulation of transcription by RNA polymerase II","negative regulation of gene expression","blood coagulation, fibrin clot formation","regulation of transport","positive regulation of cell motility",NA
"191","establishment of cell polarity","response to endoplasmic reticulum stress","negative regulation of MAPK cascade","pallium development","transmembrane receptor protein tyrosine kinase signaling pathway",NA
"192",NA,"cellular macromolecule localization","kidney development","organ induction","response to chemical",NA
"193",NA,"skin development","membrane depolarization","regulation of canonical Wnt signaling pathway","response to growth factor",NA
"194",NA,"regulation of leukocyte migration","cellular response to oxygen-containing compound","focal adhesion assembly","response to external stimulus",NA
"195",NA,"adhesion of symbiont to host cell","negative regulation of myoblast differentiation","tissue development","gland morphogenesis",NA
"196",NA,"gene expression","mitochondrial depolarization","regulation of sodium ion transport","postsynaptic membrane organization",NA
"197",NA,"positive regulation of cellular metabolic process","negative regulation of canonical Wnt signaling pathway","protein localization to synapse","positive regulation of bone mineralization",NA
"198",NA,"cell morphogenesis","gliogenesis","regulation of calcium ion transmembrane transporter activity","regulation of multicellular organismal development",NA
"199",NA,"transforming growth factor beta receptor signaling pathway","negative regulation of cellular protein metabolic process","positive regulation of cell development","embryonic limb morphogenesis",NA
"200",NA,"regulation of primary metabolic process","aging","regulation of striated muscle contraction","embryonic appendage morphogenesis",NA
