"","OE","DE-Prog","IK/EK","OEE","SR-1","SR-2","SI-1","SI-2","SI-3","PA-1","PA-2","AM-1","AM-2"
"37","leukocyte activation involved in immune response","regulation of multicellular organismal process","epithelium development","macromolecule modification","negative regulation of biological process","positive regulation of neuron projection development","secretion","growth","response to wounding","axon guidance","regulation of response to biotic stimulus","cell migration","lateral sprouting from an epithelium"
"38","cell activation involved in immune response","regulation of synapse structure or activity","neuron differentiation","response to antibiotic","response to amino acid","cell morphogenesis involved in neuron differentiation","response to topologically incorrect protein","regulation of cell-matrix adhesion","cell morphogenesis","neuron projection guidance","clathrin-dependent endocytosis","cell morphogenesis involved in differentiation","multicellular organismal process"
"39","myeloid cell activation involved in immune response","myoblast fusion involved in skeletal muscle regeneration","embryonic morphogenesis","protein hydroxylation","regulation of response to stimulus","developmental process","regulation of protein secretion","regulation of developmental growth","regulation of cell-substrate adhesion","negative regulation of neurogenesis","negative regulation of RNA metabolic process","circulatory system development","epidermis development"
"40","myeloid leukocyte mediated immunity","actin filament bundle assembly","animal organ morphogenesis","carboxylic acid transport","regulation of developmental process","positive regulation of developmental process","cell death","multicellular organism development","regulation of actin filament bundle assembly","cell projection organization",NA,"biomineral tissue development","neurogenesis"
"41","response to wounding","retinoid metabolic process","epithelial tube morphogenesis","developmental growth","negative regulation of cellular protein metabolic process","regulation of neuron projection development","maintenance of location","cell-matrix adhesion","positive T cell selection","negative regulation of cell differentiation",NA,"blood vessel morphogenesis","regulation of odontogenesis of dentin-containing tooth"
"42","sequestering of zinc ion","epidermal cell differentiation","tube development","organic anion transport","extracellular structure organization","axon development","adhesion of symbiont to host cell","cell projection organization","negative regulation of insulin receptor signaling pathway","regulation of cell differentiation",NA,"anatomical structure formation involved in morphogenesis","cell migration"
"43","cardiac muscle cell-cardiac muscle cell adhesion","actin filament bundle organization","canonical Wnt signaling pathway","organic acid transport","cell adhesion","regulation of neuron differentiation","regulation of protein localization","positive regulation of cellular process","regulation of cell adhesion","regulation of plasma membrane bounded cell projection organization",NA,"regulation of cellular component organization","extracellular matrix organization"
"44","cell-cell adhesion","diterpenoid metabolic process","neurogenesis","response to topologically incorrect protein","biological adhesion","multicellular organismal process","positive regulation of neural precursor cell proliferation","developmental growth","negative regulation of cellular response to insulin stimulus","cell morphogenesis",NA,"regulation of cell morphogenesis","cell development"
"45","negative regulation of hydrolase activity","response to hydrostatic pressure","cell morphogenesis involved in differentiation","spinal cord development","cellular response to amino acid stimulus","positive regulation of cell differentiation","tissue development","positive regulation of macromolecule metabolic process","regulation of supramolecular fiber organization","negative regulation of cell morphogenesis involved in differentiation",NA,"connective tissue development","import into cell"
"46","autocrine signaling","regulation of cell-cell adhesion","cell surface receptor signaling pathway involved in cell-cell signaling","epithelial cell differentiation","response to nitrogen compound","cell-cell adhesion","adhesion of symbiont to host","detection of external stimulus","muscle filament sliding","regulation of cell projection organization",NA,"cell development","cellular component organization"
"47","cytoskeleton organization","terpenoid metabolic process","cellular component morphogenesis","liver regeneration","anatomical structure morphogenesis","regulation of multicellular organismal process","cellular protein localization","multicellular organismal process","actin-myosin filament sliding","central nervous system neuron differentiation",NA,"epithelial cell morphogenesis","morphogenesis of a polarized epithelium"
"48","antimicrobial humoral immune response mediated by antimicrobial peptide","central nervous system development","embryonic digestive tract development","cellular protein modification process","locomotion","regulation of plasma membrane bounded cell projection organization","regulation of peptide secretion","neuron projection development","positive regulation of cytoskeleton organization","negative regulation of cell projection organization",NA,"angiogenesis","biomineral tissue development"
"49","exocytosis","leukocyte migration","developmental growth","protein modification process","regulation of multicellular organismal process","cell-cell adhesion via plasma-membrane adhesion molecules","regulation of mRNA metabolic process","positive regulation of biological process","regulation of cell migration","regulation of multicellular organismal development",NA,"neuron projection development","nervous system development"
"50","negative regulation of proteolysis","neuron differentiation","generation of neurons","response to organic cyclic compound","negative regulation of cellular process","regulation of cell projection organization","cellular macromolecule localization","detection of abiotic stimulus","cell part morphogenesis","negative regulation of axon extension",NA,"regulation of cell proliferation","cell morphogenesis involved in differentiation"
"51","myeloid leukocyte activation","myotube differentiation involved in skeletal muscle regeneration","regulation of multicellular organismal process","response to acid chemical","cellular component organization or biogenesis","telencephalon development","actin filament-based process","regulation of growth","endothelial cell migration","negative regulation of nervous system development",NA,"cell projection morphogenesis","generation of neurons"
"52","regulation of microvillus organization","regulation of cell differentiation","Wnt signaling pathway","post-translational protein modification","negative regulation of protein metabolic process","positive regulation of neuron differentiation","secretion by cell","detection of mechanical stimulus involved in sensory perception of pain","regulation of cytoskeleton organization","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",NA,"cell projection organization","cellular component morphogenesis"
"53","sequestering of metal ion","supramolecular fiber organization","cell-cell signaling by wnt","response to toxic substance","multicellular organismal process","axonogenesis","cellular component organization or biogenesis","neurogenesis","regulation of cell motility","negative chemotaxis",NA,"regulation of amyloid fibril formation","cellular component organization or biogenesis"
"54","heterotypic cell-cell adhesion","glycosaminoglycan biosynthetic process","regulation of neurogenesis","relaxation of muscle","biological regulation","central nervous system neuron differentiation","positive regulation of keratinocyte proliferation","epithelial cell-cell adhesion","cell junction assembly","regulation of anatomical structure morphogenesis",NA,"cell part morphogenesis","extracellular structure organization"
"55","positive regulation of vesicle fusion","actomyosin structure organization","organ growth","regulation of epithelial cell proliferation","signal transduction","cell morphogenesis involved in differentiation","establishment of protein localization","cell development","blood vessel endothelial cell migration","multicellular organismal process",NA,"animal organ morphogenesis","locomotion"
"56","leukocyte migration involved in inflammatory response","regulation of modification of postsynaptic structure","neuron projection development","cell aging","regulation of biological quality","positive regulation of cell projection organization","neuron death","positive regulation of cell projection organization","movement of cell or subcellular component","negative regulation of cell development",NA,"cartilage development","cell morphogenesis involved in neuron differentiation"
"57","protein nitrosylation","keratinocyte differentiation","mesenchyme development","fatty-acyl-CoA biosynthetic process","regulation of protein tyrosine phosphatase activity","locomotion","regulation of actin cytoskeleton organization","cell differentiation","striated muscle cell differentiation","neuron recognition",NA,"cell proliferation","cell motility"
"58","peptidyl-cysteine S-nitrosylation","contractile actin filament bundle assembly","kidney morphogenesis","epithelial cell development","cellular component organization","presynaptic membrane assembly","developmental process involved in reproduction","system process","response to glucocorticoid","negative regulation of developmental process",NA,"tube development","localization of cell"
"59","leukocyte aggregation","stress fiber assembly","axon guidance","antigen processing and presentation","growth","positive regulation of nervous system development","maintenance of protein localization in endoplasmic reticulum","positive regulation of gene expression","negative regulation of GTPase activity","axon extension",NA,"cellular component organization","neuron differentiation"
"60","bundle of His cell to Purkinje myocyte communication","synapse organization","bone morphogenesis","endothelial cell differentiation","regulation of signal transduction","presynaptic membrane organization","atrial septum morphogenesis","plasma membrane bounded cell projection organization","T cell selection","positive regulation of circadian rhythm",NA,"molting cycle","regulation of epidermal growth factor receptor signaling pathway"
"61","regulation of ventricular cardiac muscle cell action potential","aminoglycan biosynthetic process","neuron projection guidance","regulation of cardiac muscle cell contraction","response to stimulus","positive regulation of cell development","cellular response to drug","generation of neurons","regulation of extrinsic apoptotic signaling pathway in absence of ligand","positive regulation of synaptic vesicle transport",NA,"hair cycle","regulation of ERBB signaling pathway"
"62","cell adhesion","cell junction organization","gastrulation","organonitrogen compound metabolic process","negative regulation of cellular response to growth factor stimulus","chemotaxis","negative regulation of actin filament polymerization","chemotaxis","muscle system process","neural crest cell migration",NA,"regulation of multicellular organismal development","regulation of odontogenesis"
"63","biological adhesion","regulation of cellular component organization","specification of animal organ identity","reproductive process","response to organonitrogen compound","taxis","tissue morphogenesis","cellular component morphogenesis","thymus development","ganglion development",NA,"neurogenesis","axonogenesis"
"64","chronic inflammatory response","isoprenoid metabolic process","positive regulation of nervous system development","reproduction","cellular developmental process","artery development","protein localization","taxis","regulation of lamellipodium organization","neurotransmitter-gated ion channel clustering",NA,"regulation of neuron death","positive regulation of synaptic transmission, glutamatergic"
"65","microvillus assembly","T cell costimulation","mammary gland formation","sensory organ development","astrocyte development","animal organ morphogenesis","cellular response to cytokine stimulus","regulation of cell development",NA,"developmental growth involved in morphogenesis",NA,"genitalia morphogenesis","cell-substrate junction assembly"
"66","leukocyte mediated immunity","lymphocyte costimulation","embryo development","heart development","negative regulation of cell differentiation","positive regulation of neurogenesis","chromosome organization","neuron development",NA,"central nervous system development",NA,"regulation of epithelial cell proliferation involved in prostate gland development","cell morphogenesis"
"67","immune effector process","cardiac conduction system development","cell morphogenesis","positive regulation of organic acid transport","animal organ development","negative chemotaxis","neuron apoptotic process","regulation of cell differentiation",NA,"positive regulation of neuron differentiation",NA,"regulation of tooth mineralization","neuron projection morphogenesis"
"68","regulation of proteolysis","neuron development","regulation of canonical Wnt signaling pathway","regulation of actin filament-based movement","anatomical structure development","tube development","DNA metabolic process","positive regulation of metabolic process",NA,"cell proliferation in external granule layer",NA,"negative regulation of neuron death","plasma membrane bounded cell projection morphogenesis"
"69","cell activation","actin filament-based process","tube morphogenesis","positive regulation of protein localization to membrane","collagen metabolic process","neuron cell-cell adhesion","negative regulation of protein complex assembly","cellular developmental process",NA,"cerebellar granule cell precursor proliferation",NA,"positive regulation of supramolecular fiber organization","cell projection morphogenesis"
"70","defense response to bacterium","regulation of RNA polymerase II transcriptional preinitiation complex assembly","regulation of multicellular organismal development","fatty-acyl-CoA metabolic process","regulation of cell differentiation","pallium development","cellular response to antibiotic","anatomical structure development",NA,"regulation of neuron projection development",NA,"positive regulation of cellular component organization","membrane organization"
"71","defense response to fungus","regulation of modification of synaptic structure","synapse assembly","cell morphogenesis involved in differentiation","substrate adhesion-dependent cell spreading","axon guidance","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","cell adhesion",NA,"cell proliferation in hindbrain",NA,"negative regulation of cell development","axon development"
"72","regulated exocytosis","immune system process","regulation of cell proliferation in bone marrow","cell cycle","collagen biosynthetic process","neuron projection guidance","negative regulation of endoplasmic reticulum unfolded protein response","movement of cell or subcellular component",NA,"protein localization to synapse",NA,"epithelial cell proliferation involved in prostate gland development","cell part morphogenesis"
"73","humoral immune response","odontogenesis","positive regulation of cell proliferation in bone marrow","endothelium development","regulation of cellular component organization","aorta development","positive regulation of chromosome separation","positive regulation of axonogenesis",NA,"dendrite morphogenesis",NA,"negative regulation of cellular component organization","regulation of cofactor metabolic process"
"74","secretion by cell","glycosaminoglycan catabolic process","chondrocyte differentiation","growth","skin development","positive regulation of multicellular organismal process","establishment of cell polarity","biological adhesion",NA,"positive regulation of cell projection organization",NA,"regulation of cell development","epidermal growth factor receptor signaling pathway"
"75","immune response","aminoglycan catabolic process","synapse organization","cardiac muscle contraction","negative regulation of osteoblast differentiation","cerebral cortex development","regulation of cellular component movement","neuron differentiation",NA,"positive regulation of neuron migration",NA,"negative regulation of developmental process","regulation of cellular component organization"
"76","leukocyte activation","neuron projection development","nephron epithelium development","cell differentiation","coronary vasculature development","axonal fasciculation","apoptotic process","regulation of cytosolic calcium ion concentration",NA,"regulation of developmental process",NA,"high-density lipoprotein particle clearance","cell surface receptor signaling pathway"
"77","membrane raft organization","positive regulation of cell-cell adhesion","cell development","eye photoreceptor cell differentiation","cellular response to acid chemical","neuron projection fasciculation","mRNA metabolic process","ephrin receptor signaling pathway",NA,"hindbrain development",NA,"osteoblast differentiation","movement of cell or subcellular component"
"78","microvillus organization","cell junction assembly","cell proliferation in bone marrow","response to hydrogen peroxide","multicellular organism development","synapse organization","regulation of catabolic process","negative regulation of synapse organization",NA,"negative regulation of axonogenesis",NA,"nervous system development","establishment of planar polarity"
"79","intermediate filament organization","cell-cell adhesion via plasma-membrane adhesion molecules","stem cell division","liver development","endoderm formation","tube morphogenesis","positive regulation of cell migration","regulation of cell morphogenesis involved in differentiation",NA,"localization within membrane",NA,"cell-matrix adhesion","establishment of tissue polarity"
"80","regulation of cardiac muscle cell action potential","regulation of T cell proliferation","regulation of anatomical structure morphogenesis","regulation of cell cycle","skin morphogenesis","animal organ development","regulation of cell killing","regulation of multicellular organismal development",NA,"astrocyte differentiation",NA,"negative regulation of apoptotic signaling pathway","Rac protein signal transduction"
"81","regulation of hydrolase activity","modification of postsynaptic structure","glandular epithelial cell differentiation","hepaticobiliary system development","signaling","osteoblast differentiation","response to salt","negative regulation of cell projection organization",NA,"vesicle cytoskeletal trafficking",NA,"neuron development","endodermal cell differentiation"
"82","cellular zinc ion homeostasis","glycosaminoglycan metabolic process","negative chemotaxis","negative regulation of multicellular organismal process","cell communication","aortic valve morphogenesis","positive regulation of neuron migration","hematopoietic stem cell proliferation",NA,"animal organ development",NA,"cellular component organization or biogenesis","genitalia development"
"83","regulation of vesicle fusion","actin cytoskeleton organization","mammary gland morphogenesis","neurogenesis","regulation of cell motility","cellular component organization","protein transport","negative regulation of cell development",NA,"neural crest cell development",NA,"plasma membrane bounded cell projection organization","regulation of animal organ morphogenesis"
"84","granulocyte chemotaxis","cellular response to low-density lipoprotein particle stimulus","animal organ development","histone ubiquitination","system development","cell fate commitment","cellular response to growth factor stimulus","positive regulation of nitrogen compound metabolic process",NA,"central nervous system neuron development",NA,"neuron death","keratinocyte proliferation"
"85","zinc ion homeostasis","cell surface receptor signaling pathway","branching morphogenesis of a nerve","coronary vasculature development","collagen fibril organization","circulatory system development","placenta development","cellular response to hormone stimulus",NA,"neuron projection extension",NA,"endothelial cell morphogenesis","nicotinamide nucleotide biosynthetic process"
"86","ventricular cardiac muscle cell action potential","aminoglycan metabolic process","regulation of cell development","cochlea development","regulation of osteoblast differentiation","Roundabout signaling pathway","positive regulation of DNA biosynthetic process","cell growth",NA,"axonal fasciculation",NA,"positive regulation by host of viral process","pyridine nucleotide biosynthetic process"
"87","bone cell development","myoblast differentiation","growth","negative regulation of cell migration","osteoblast differentiation","anatomical structure formation involved in morphogenesis","regulation of macromolecule biosynthetic process","cell-cell adhesion",NA,"branching involved in salivary gland morphogenesis",NA,"regulation of neurogenesis","ERBB signaling pathway"
"88","secretion","cellular component assembly","digestive tract development",NA,"mesenchymal cell differentiation","regulation of anatomical structure morphogenesis","telomere maintenance","positive regulation of RNA metabolic process",NA,"neuron projection fasciculation",NA,"regulation of binding","cellular modified amino acid biosynthetic process"
"89","response to fungus","regulation of nuclease activity","plasma membrane bounded cell projection organization",NA,"cell growth","homophilic cell adhesion via plasma membrane adhesion molecules","positive regulation of protein secretion","cell morphogenesis",NA,"mesenchymal cell development",NA,"regulation of supramolecular fiber organization","pyridine-containing compound biosynthetic process"
"90","regulation of cardiac muscle cell contraction","negative regulation of myoblast differentiation","positive regulation of neurogenesis",NA,"negative regulation of angiogenesis","positive regulation of cell morphogenesis involved in differentiation","regulation of apoptotic process","Ras protein signal transduction",NA,"stem cell development",NA,"high-density lipoprotein particle remodeling","import across plasma membrane"
"91","regulation of heart rate by cardiac conduction","actin filament organization","mesoderm development",NA,"negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","central nervous system neuron development","atrial cardiac muscle cell action potential","negative regulation of cell morphogenesis involved in differentiation",NA,"positive regulation of cell differentiation",NA,"regulation of odontogenesis of dentin-containing tooth","axon guidance"
"92","immune system process","brain development","embryonic limb morphogenesis",NA,"response to acid chemical","aortic valve development","atrial cardiac muscle cell to AV node cell signaling","regulation of neuron differentiation",NA,"neural crest cell differentiation",NA,"negative regulation of multicellular organismal process","neuron projection guidance"
"93","astrocyte development","regulation of leukocyte cell-cell adhesion","embryonic appendage morphogenesis",NA,"transmembrane receptor protein serine/threonine kinase signaling pathway","skeletal system development","atrial cardiac muscle cell to AV node cell communication","regulation of cell morphogenesis",NA,"regulation of cell morphogenesis involved in differentiation",NA,"regulation of neuron projection development","carboxylic acid transmembrane transport"
"94","granulocyte migration","cell morphogenesis involved in differentiation","regulation of synapse organization",NA,"negative regulation of blood vessel morphogenesis","postsynaptic density organization","negative regulation of macromolecule metabolic process","anatomical structure morphogenesis",NA,"regulation of axonogenesis",NA,"regulation of amyloid-beta clearance",NA
"95","modification of morphology or physiology of other organism","regulation of nervous system development","axonogenesis",NA,"cell-substrate adhesion","neuron migration","regulation of actin filament-based process","regulation of cell-substrate adhesion",NA,"negative regulation of axon extension involved in axon guidance",NA,"negative regulation of amyloid-beta formation",NA
"96","skeletal muscle tissue regeneration","extracellular structure organization","branching involved in ureteric bud morphogenesis",NA,"regulation of cell communication","tissue development","supramolecular fiber organization","cell-substrate adhesion",NA,"innervation",NA,"negative regulation of cell proliferation",NA
"97","regulation of actin filament-based movement","appendage development","cell projection organization",NA,"cellular macromolecule metabolic process","axon choice point recognition","macromolecule localization","regulation of cell adhesion",NA,"neuron projection arborization",NA,"plasma membrane bounded cell projection morphogenesis",NA
"98","interleukin-12-mediated signaling pathway","limb development","cell differentiation involved in kidney development",NA,"positive regulation by host of viral process","vocal learning","positive regulation of cell motility","regulation of neuron projection development",NA,"establishment of vesicle localization",NA,"negative regulation of supramolecular fiber organization",NA
"99","negative regulation of catalytic activity","positive regulation of activated T cell proliferation","regulation of synapse structure or activity",NA,"response to peptide","asymmetric neuroblast division","peptide transport","detection of mechanical stimulus involved in sensory perception",NA,"regulation of odontogenesis",NA,"endothelial cell development",NA
"100","cellular response to interleukin-12","modification of synaptic structure","digestive system development",NA,"response to estradiol","imitative learning","regulation of programmed cell death","integrin-mediated signaling pathway",NA,"regulation of axon extension",NA,"cellular response to growth factor stimulus",NA
"101","cell-cell adhesion via plasma-membrane adhesion molecules","cellular component morphogenesis","skeletal system development",NA,"cellular response to fibroblast growth factor stimulus","learned vocalization behavior or vocal learning","regulation of cell migration","regulation of extent of cell growth",NA,"embryonic hindlimb morphogenesis",NA,"regulation of plasma membrane bounded cell projection organization",NA
"102","response to interleukin-12","T cell proliferation","optic nerve development",NA,"epithelium development","positive regulation of heart induction","positive regulation of cellular amide metabolic process","cardiac atrium development",NA,"negative regulation of axon guidance",NA,"amyloid precursor protein metabolic process",NA
