"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"17","GO:0007010","cytoskeleton organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures.","0.96% (13/1358)",0.0002304829,3.64,"ENSG00000111640;ENSG00000112701;ENSG00000115306;ENSG00000128585;ENSG00000145819;ENSG00000151150;ENSG00000152767;ENSG00000154380;ENSG00000154556;ENSG00000169760;ENSG00000170421;ENSG00000172403;ENSG00000196924","GAPDH;SENP6;SPTBN1;MKLN1;ARHGAP26;ANK3;FARP1;ENAH;SORBS2;NLGN1;KRT8;SYNPO2;FLNA"
"18","GO:0007028","cytoplasm organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the cytoplasm. The cytoplasm is all of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.","20% (2/10)",0.0004384396,3.36,"ENSG00000115904;ENSG00000139083","SOS1;ETV6"
"19","GO:0007155","cell adhesion","The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules.","0.96% (13/1348)",0.0002141546,3.67,"ENSG00000091136;ENSG00000128585;ENSG00000134762;ENSG00000138814;ENSG00000145681;ENSG00000147044;ENSG00000151150;ENSG00000165379;ENSG00000169760;ENSG00000182197;ENSG00000182871;ENSG00000182985;ENSG00000196924","LAMB1;MKLN1;DSC3;PPP3CA;HAPLN1;CASK;ANK3;LRFN5;NLGN1;EXT1;COL18A1;CADM1;FLNA"
"20","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","The attachment of an adhesion molecule in one cell to a nonidentical adhesion molecule in an adjacent cell.","4.55% (2/44)",0.008604113,2.07,"ENSG00000169760;ENSG00000182985","NLGN1;CADM1"
"21","GO:0007275","multicellular organism development","The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult).","0.62% (31/5030)",9.039713e-06,5.04,"ENSG00000054267;ENSG00000055609;ENSG00000073282;ENSG00000091136;ENSG00000111962;ENSG00000115306;ENSG00000115461;ENSG00000115904;ENSG00000127152;ENSG00000130939;ENSG00000134762;ENSG00000138814;ENSG00000139083;ENSG00000145681;ENSG00000145819;ENSG00000151150;ENSG00000152767;ENSG00000154380;ENSG00000154556;ENSG00000165379;ENSG00000165973;ENSG00000169760;ENSG00000170421;ENSG00000175793;ENSG00000178568;ENSG00000178573;ENSG00000182197;ENSG00000182871;ENSG00000182985;ENSG00000184304;ENSG00000196924","ARID4B;KMT2C;TP63;LAMB1;UST;SPTBN1;IGFBP5;SOS1;BCL11B;UBE4B;DSC3;PPP3CA;ETV6;HAPLN1;ARHGAP26;ANK3;FARP1;ENAH;SORBS2;LRFN5;NELL1;NLGN1;KRT8;SFN;ERBB4;MAF;EXT1;COL18A1;CADM1;PRKD1;FLNA"
"22","GO:0007399","nervous system development","The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state.","0.9% (21/2332)",2.730095e-06,5.56,"ENSG00000073282;ENSG00000091136;ENSG00000111962;ENSG00000115306;ENSG00000115904;ENSG00000127152;ENSG00000130939;ENSG00000138814;ENSG00000139083;ENSG00000145681;ENSG00000145819;ENSG00000151150;ENSG00000152767;ENSG00000154380;ENSG00000165379;ENSG00000165973;ENSG00000169760;ENSG00000178568;ENSG00000182197;ENSG00000184304;ENSG00000196924","TP63;LAMB1;UST;SPTBN1;SOS1;BCL11B;UBE4B;PPP3CA;ETV6;HAPLN1;ARHGAP26;ANK3;FARP1;ENAH;LRFN5;NELL1;NLGN1;ERBB4;EXT1;PRKD1;FLNA"
"23","GO:0007409","axonogenesis","De novo generation of a long process of a neuron, including the terminal branched region. Refers to the morphogenesis or creation of shape or form of the developing axon, which carries efferent (outgoing) action potentials from the cell body towards target cells.","1.49% (7/469)",0.000653256,3.18,"ENSG00000111962;ENSG00000115306;ENSG00000115904;ENSG00000127152;ENSG00000151150;ENSG00000154380;ENSG00000182197","UST;SPTBN1;SOS1;BCL11B;ANK3;ENAH;EXT1"
"24","GO:0007411","axon guidance","The chemotaxis process that directs the migration of an axon growth cone to a specific target site in response to a combination of attractive and repulsive cues.","1.85% (5/270)",0.001612183,2.79,"ENSG00000115306;ENSG00000115904;ENSG00000127152;ENSG00000154380;ENSG00000182197","SPTBN1;SOS1;BCL11B;ENAH;EXT1"
"25","GO:0007416","synapse assembly","The aggregation, arrangement and bonding together of a set of components to form a synapse.  This process ends when the synapse is mature (functional).","2.17% (4/184)",0.002736959,2.56,"ENSG00000152767;ENSG00000165379;ENSG00000169760;ENSG00000178568","FARP1;LRFN5;NLGN1;ERBB4"
"26","GO:0007420","brain development","The process whose specific outcome is the progression of the brain over time, from its formation to the mature structure. Brain development begins with patterning events in the neural tube and ends with the mature structure that is the center of thought and emotion. The brain is responsible for the coordination and control of bodily activities and the interpretation of information from the senses (sight, hearing, smell, etc.).","0.95% (7/735)",0.008141749,2.09,"ENSG00000091136;ENSG00000115904;ENSG00000127152;ENSG00000138814;ENSG00000178568;ENSG00000182197;ENSG00000196924","LAMB1;SOS1;BCL11B;PPP3CA;ERBB4;EXT1;FLNA"
"27","GO:0008104","protein localization","Any process in which a protein is transported to, or maintained in, a specific location.","0.64% (17/2638)",0.00220576,2.66,"ENSG00000073282;ENSG00000111640;ENSG00000115306;ENSG00000132549;ENSG00000138814;ENSG00000144596;ENSG00000151150;ENSG00000151474;ENSG00000152520;ENSG00000169760;ENSG00000175115;ENSG00000175793;ENSG00000178568;ENSG00000182674;ENSG00000182985;ENSG00000184304;ENSG00000196924","TP63;GAPDH;SPTBN1;VPS13B;PPP3CA;GRIP2;ANK3;FRMD4A;PAN3;NLGN1;PACS1;SFN;ERBB4;KCNB2;CADM1;PRKD1;FLNA"
"28","GO:0008219","cell death","Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538).","0.69% (14/2038)",0.003470541,2.46,"ENSG00000073282;ENSG00000111640;ENSG00000115904;ENSG00000127152;ENSG00000130939;ENSG00000134762;ENSG00000139083;ENSG00000170421;ENSG00000175793;ENSG00000178568;ENSG00000182871;ENSG00000182985;ENSG00000184304;ENSG00000196924","TP63;GAPDH;SOS1;BCL11B;UBE4B;DSC3;ETV6;KRT8;SFN;ERBB4;COL18A1;CADM1;PRKD1;FLNA"
"29","GO:0008283","cell proliferation","The multiplication or reproduction of cells, resulting in the expansion of a cell population.","0.78% (14/1791)",0.001002302,3,"ENSG00000073282;ENSG00000091136;ENSG00000115461;ENSG00000115904;ENSG00000127152;ENSG00000139083;ENSG00000147044;ENSG00000165973;ENSG00000175793;ENSG00000178568;ENSG00000182197;ENSG00000182871;ENSG00000184304;ENSG00000196924","TP63;LAMB1;IGFBP5;SOS1;BCL11B;ETV6;CASK;NELL1;SFN;ERBB4;EXT1;COL18A1;PRKD1;FLNA"
"30","GO:0008285","negative regulation of cell proliferation","Any process that stops, prevents or reduces the rate or extent of cell proliferation.","1.06% (7/663)",0.004688405,2.33,"ENSG00000115461;ENSG00000127152;ENSG00000147044;ENSG00000165973;ENSG00000175793;ENSG00000178568;ENSG00000182871","IGFBP5;BCL11B;CASK;NELL1;SFN;ERBB4;COL18A1"
"31","GO:0008544","epidermis development","The process whose specific outcome is the progression of the epidermis over time, from its formation to the mature structure. The epidermis is the outer epithelial layer of an animal, it may be a single layer that produces an extracellular material (e.g. the cuticle of arthropods) or a complex stratified squamous epithelium, as in the case of many vertebrate species.","1.94% (7/361)",0.0001336448,3.87,"ENSG00000073282;ENSG00000115461;ENSG00000115904;ENSG00000127152;ENSG00000134762;ENSG00000170421;ENSG00000175793","TP63;IGFBP5;SOS1;BCL11B;DSC3;KRT8;SFN"
"32","GO:0008637","apoptotic mitochondrial changes","The morphological and physiological alterations undergone by mitochondria during apoptosis.","2.56% (3/117)",0.006091752,2.22,"ENSG00000073282;ENSG00000175793;ENSG00000178568","TP63;SFN;ERBB4"
"33","GO:0009415","response to water","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of water.","11.76% (2/17)",0.001306371,2.88,"ENSG00000170421;ENSG00000182871","KRT8;COL18A1"
"34","GO:0009653","anatomical structure morphogenesis","The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form.","0.77% (20/2590)",5.581811e-05,4.25,"ENSG00000073282;ENSG00000091136;ENSG00000111962;ENSG00000115306;ENSG00000115461;ENSG00000115904;ENSG00000127152;ENSG00000128585;ENSG00000130939;ENSG00000138814;ENSG00000151150;ENSG00000152767;ENSG00000154380;ENSG00000169760;ENSG00000170421;ENSG00000178568;ENSG00000182197;ENSG00000182871;ENSG00000184304;ENSG00000196924","TP63;LAMB1;UST;SPTBN1;IGFBP5;SOS1;BCL11B;MKLN1;UBE4B;PPP3CA;ANK3;FARP1;ENAH;NLGN1;KRT8;ERBB4;EXT1;COL18A1;PRKD1;FLNA"
"35","GO:0009888","tissue development","The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure.","0.96% (18/1880)",8.644755e-06,5.06,"ENSG00000054267;ENSG00000073282;ENSG00000091136;ENSG00000115461;ENSG00000115904;ENSG00000127152;ENSG00000130939;ENSG00000134762;ENSG00000138814;ENSG00000154556;ENSG00000165973;ENSG00000170421;ENSG00000175793;ENSG00000178568;ENSG00000178573;ENSG00000182197;ENSG00000182871;ENSG00000196924","ARID4B;TP63;LAMB1;IGFBP5;SOS1;BCL11B;UBE4B;DSC3;PPP3CA;SORBS2;NELL1;KRT8;SFN;ERBB4;MAF;EXT1;COL18A1;FLNA"
"36","GO:0009913","epidermal cell differentiation","The process in which a relatively unspecialized cell acquires specialized features of an epidermal cell, any of the cells making up the epidermis.","2.01% (5/249)",0.001126699,2.95,"ENSG00000073282;ENSG00000127152;ENSG00000134762;ENSG00000170421;ENSG00000175793","TP63;BCL11B;DSC3;KRT8;SFN"
"37","GO:0010837","regulation of keratinocyte proliferation","Any process that modulates the rate, frequency or extent of keratinocyte proliferation. Keratinocyte proliferation is the multiplication or reproduction of keratinocytes, resulting in the expansion of a cell population.","13.89% (5/36)",9.190849e-08,7.04,"ENSG00000073282;ENSG00000127152;ENSG00000147044;ENSG00000175793;ENSG00000184304","TP63;BCL11B;CASK;SFN;PRKD1"
"38","GO:0010839","negative regulation of keratinocyte proliferation","Any process that decreases the rate, frequency or extent of keratinocyte proliferation. Keratinocyte proliferation is the multiplication or reproduction of keratinocytes, resulting in the expansion of a cell population.","12.5% (2/16)",0.001155021,2.94,"ENSG00000147044;ENSG00000175793","CASK;SFN"
"39","GO:0012501","programmed cell death","A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell.","0.73% (14/1905)",0.001832463,2.74,"ENSG00000073282;ENSG00000111640;ENSG00000115904;ENSG00000127152;ENSG00000130939;ENSG00000134762;ENSG00000139083;ENSG00000170421;ENSG00000175793;ENSG00000178568;ENSG00000182871;ENSG00000182985;ENSG00000184304;ENSG00000196924","TP63;GAPDH;SOS1;BCL11B;UBE4B;DSC3;ETV6;KRT8;SFN;ERBB4;COL18A1;CADM1;PRKD1;FLNA"
"40","GO:0014733","regulation of skeletal muscle adaptation","Any process in which skeletal muscle adapts, with consequent modifications to structural and/or functional phenotypes, in response to a stimulus. Stimuli include contractile activity, loading conditions, substrate supply, and environmental factors. These adaptive events occur in both muscle fibers and associated structures (motoneurons and capillaries), and they involve alterations in regulatory mechanisms, contractile properties and metabolic capacities.","15.38% (2/13)",0.0007553472,3.12,"ENSG00000115461;ENSG00000138814","IGFBP5;PPP3CA"
"41","GO:0014888","striated muscle adaptation","Any process in which striated muscle adapts, with consequent modifications to structural and/or functional phenotypes, in response to a stimulus. Stimuli include contractile activity, loading conditions, substrate supply, and environmental factors. These adaptive events occur in both muscle fibers and associated structures (motoneurons and capillaries), and they involve alterations in regulatory mechanisms, contractile properties and metabolic capacities.","4.55% (2/44)",0.008604113,2.07,"ENSG00000115461;ENSG00000138814","IGFBP5;PPP3CA"
"42","GO:0014896","muscle hypertrophy","The muscle system process that results in enlargement or overgrowth of all or part of a muscle organ due to an increase in the size of its muscle cells. Physiological hypertrophy is a normal process during development (it stops in cardiac muscle after adolescence) and can also be brought on in response to demand. In athletes cardiac and skeletal muscles undergo hypertrophy stimulated by increasing muscle activity on exercise. Smooth muscle cells in the uterus undergo hypertrophy during pregnancy.","3.49% (3/86)",0.002567079,2.59,"ENSG00000115461;ENSG00000138814;ENSG00000154556","IGFBP5;PPP3CA;SORBS2"
"43","GO:0014897","striated muscle hypertrophy","The enlargement or overgrowth of all or part of an organ due to an increase in size of muscle cells without cell division. In the case of striated muscle, this happens due to the additional synthesis of sarcomeric proteins and assembly of myofibrils.","3.57% (3/84)",0.002400725,2.62,"ENSG00000115461;ENSG00000138814;ENSG00000154556","IGFBP5;PPP3CA;SORBS2"
"44","GO:0015031","protein transport","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.","0.72% (13/1807)",0.003371865,2.47,"ENSG00000111640;ENSG00000115306;ENSG00000132549;ENSG00000138814;ENSG00000144596;ENSG00000151150;ENSG00000151474;ENSG00000152520;ENSG00000169760;ENSG00000175793;ENSG00000182985;ENSG00000184304;ENSG00000196924","GAPDH;SPTBN1;VPS13B;PPP3CA;GRIP2;ANK3;FRMD4A;PAN3;NLGN1;SFN;CADM1;PRKD1;FLNA"
"45","GO:0015833","peptide transport","The directed movement of peptides, compounds of two or more amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.","0.71% (13/1843)",0.004007276,2.4,"ENSG00000111640;ENSG00000115306;ENSG00000132549;ENSG00000138814;ENSG00000144596;ENSG00000151150;ENSG00000151474;ENSG00000152520;ENSG00000169760;ENSG00000175793;ENSG00000182985;ENSG00000184304;ENSG00000196924","GAPDH;SPTBN1;VPS13B;PPP3CA;GRIP2;ANK3;FRMD4A;PAN3;NLGN1;SFN;CADM1;PRKD1;FLNA"
"46","GO:0016043","cellular component organization","A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component.","0.57% (35/6134)",5.737752e-06,5.24,"ENSG00000054267;ENSG00000055609;ENSG00000073282;ENSG00000091136;ENSG00000111640;ENSG00000111962;ENSG00000112701;ENSG00000115306;ENSG00000115461;ENSG00000115904;ENSG00000127152;ENSG00000128585;ENSG00000130939;ENSG00000138814;ENSG00000139083;ENSG00000144596;ENSG00000145681;ENSG00000145819;ENSG00000151150;ENSG00000152520;ENSG00000152767;ENSG00000154380;ENSG00000154556;ENSG00000165379;ENSG00000169760;ENSG00000170421;ENSG00000172403;ENSG00000175793;ENSG00000178568;ENSG00000182197;ENSG00000182674;ENSG00000182871;ENSG00000182985;ENSG00000184304;ENSG00000196924","ARID4B;KMT2C;TP63;LAMB1;GAPDH;UST;SENP6;SPTBN1;IGFBP5;SOS1;BCL11B;MKLN1;UBE4B;PPP3CA;ETV6;GRIP2;HAPLN1;ARHGAP26;ANK3;PAN3;FARP1;ENAH;SORBS2;LRFN5;NLGN1;KRT8;SYNPO2;SFN;ERBB4;EXT1;KCNB2;COL18A1;CADM1;PRKD1;FLNA"
"47","GO:0016477","cell migration","The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues. Cell migration is a central process in the development and maintenance of multicellular organisms.","0.78% (11/1406)",0.003931198,2.41,"ENSG00000091136;ENSG00000115461;ENSG00000115904;ENSG00000127152;ENSG00000138814;ENSG00000172403;ENSG00000178568;ENSG00000182197;ENSG00000182871;ENSG00000184304;ENSG00000196924","LAMB1;IGFBP5;SOS1;BCL11B;PPP3CA;SYNPO2;ERBB4;EXT1;COL18A1;PRKD1;FLNA"
"48","GO:0021537","telencephalon development","The process whose specific outcome is the progression of the telencephalon over time, from its formation to the mature structure. The telencephalon is the paired anteriolateral division of the prosencephalon plus the lamina terminalis from which the olfactory lobes, cerebral cortex, and subcortical nuclei are derived.","1.96% (5/255)",0.001252444,2.9,"ENSG00000091136;ENSG00000127152;ENSG00000178568;ENSG00000182197;ENSG00000196924","LAMB1;BCL11B;ERBB4;EXT1;FLNA"
"49","GO:0021772","olfactory bulb development","The progression of the olfactory bulb over time from its initial formation until its mature state. The olfactory bulb coordinates neuronal signaling involved in the perception of smell. It receives input from the sensory neurons and outputs to the olfactory cortex.","6.25% (2/32)",0.004621883,2.34,"ENSG00000178568;ENSG00000182197","ERBB4;EXT1"
"50","GO:0021988","olfactory lobe development","The progression of the olfactory lobe over time from its initial formation until its mature state. The olfactory lobe is the area of the brain that process the neural inputs for the sense of smell.","5.88% (2/34)",0.005206484,2.28,"ENSG00000178568;ENSG00000182197","ERBB4;EXT1"
"51","GO:0022008","neurogenesis","Generation of cells within the nervous system.","0.99% (16/1611)",2.128711e-05,4.67,"ENSG00000091136;ENSG00000111962;ENSG00000115306;ENSG00000115904;ENSG00000127152;ENSG00000130939;ENSG00000138814;ENSG00000139083;ENSG00000151150;ENSG00000152767;ENSG00000154380;ENSG00000169760;ENSG00000178568;ENSG00000182197;ENSG00000184304;ENSG00000196924","LAMB1;UST;SPTBN1;SOS1;BCL11B;UBE4B;PPP3CA;ETV6;ANK3;FARP1;ENAH;NLGN1;ERBB4;EXT1;PRKD1;FLNA"
"52","GO:0022404","molting cycle process","A multicellular organismal process involved in the periodic casting off and regeneration of an outer covering of cuticle, feathers, hair, horns, skin.","3.3% (3/91)",0.003013675,2.52,"ENSG00000073282;ENSG00000115461;ENSG00000115904","TP63;IGFBP5;SOS1"
"53","GO:0022405","hair cycle process","A multicellular organismal process involved in the cyclical phases of growth (anagen), regression (catagen), quiescence (telogen), and shedding (exogen) in the life of a hair; one of the collection or mass of filaments growing from the skin of an animal, and forming a covering for a part of the head or for any part or the whole of the body.","3.3% (3/91)",0.003013675,2.52,"ENSG00000073282;ENSG00000115461;ENSG00000115904","TP63;IGFBP5;SOS1"
"54","GO:0022610","biological adhesion","The attachment of a cell or organism to a substrate, another cell, or other organism. Biological adhesion includes intracellular attachment between membrane regions.","0.96% (13/1353)",0.000222189,3.65,"ENSG00000091136;ENSG00000128585;ENSG00000134762;ENSG00000138814;ENSG00000145681;ENSG00000147044;ENSG00000151150;ENSG00000165379;ENSG00000169760;ENSG00000182197;ENSG00000182871;ENSG00000182985;ENSG00000196924","LAMB1;MKLN1;DSC3;PPP3CA;HAPLN1;CASK;ANK3;LRFN5;NLGN1;EXT1;COL18A1;CADM1;FLNA"
"55","GO:0030029","actin filament-based process","Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins.","1.17% (9/772)",0.0006348212,3.2,"ENSG00000115306;ENSG00000128585;ENSG00000145819;ENSG00000152767;ENSG00000154380;ENSG00000154556;ENSG00000170421;ENSG00000172403;ENSG00000196924","SPTBN1;MKLN1;ARHGAP26;FARP1;ENAH;SORBS2;KRT8;SYNPO2;FLNA"
"56","GO:0030030","cell projection organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a cell, e.g. a flagellum or axon.","0.9% (14/1547)",0.0002238649,3.65,"ENSG00000091136;ENSG00000111962;ENSG00000115306;ENSG00000115904;ENSG00000127152;ENSG00000130939;ENSG00000138814;ENSG00000151150;ENSG00000152767;ENSG00000154380;ENSG00000169760;ENSG00000182197;ENSG00000184304;ENSG00000196924","LAMB1;UST;SPTBN1;SOS1;BCL11B;UBE4B;PPP3CA;ANK3;FARP1;ENAH;NLGN1;EXT1;PRKD1;FLNA"
"57","GO:0030036","actin cytoskeleton organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins.","1.32% (9/680)",0.00025071,3.6,"ENSG00000115306;ENSG00000128585;ENSG00000145819;ENSG00000152767;ENSG00000154380;ENSG00000154556;ENSG00000170421;ENSG00000172403;ENSG00000196924","SPTBN1;MKLN1;ARHGAP26;FARP1;ENAH;SORBS2;KRT8;SYNPO2;FLNA"
